Store,Date,IsHoliday,Weekly_Sales,Type,Size,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Lag_1,Lag_52,Rolling_Mean_4w,Year,Month,WeekOfYear,Type_encoded
1,2011-02-04,0,1606629.58,A,151315,42.27,2.989,,,,,,212.5668812,7.742,1316899.31,1643690.9,1370012.7425,2011,2,5,0
1,2011-02-11,1,1649614.93,A,151315,36.39,3.022,,,,,,212.9367046,7.742,1606629.58,1641957.44,1410487.0675,2011,2,6,0
1,2011-02-18,0,1686842.78,A,151315,57.36,3.045,,,,,,213.2478853,7.742,1649614.93,1611968.17,1475137.31,2011,2,7,0
1,2011-02-25,0,1456800.28,A,151315,62.9,3.065,,,,,,213.535609,7.742,1686842.78,1409727.59,1564996.65,2011,2,8,0
1,2011-03-04,0,1636263.41,A,151315,59.58,3.288,,,,,,213.8233327,7.742,1456800.28,1554806.68,1599971.8924999998,2011,3,9,0
1,2011-03-11,0,1553191.63,A,151315,53.56,3.459,,,,,,214.1110564,7.742,1636263.41,1439541.59,1607380.35,2011,3,10,0
1,2011-03-18,0,1576818.06,A,151315,62.76,3.488,,,,,,214.3627114,7.742,1553191.63,1472515.79,1583274.525,2011,3,11,0
1,2011-03-25,0,1541102.3800000001,A,151315,69.97,3.473,,,,,,214.5999389,7.742,1576818.06,1404429.92,1555768.3450000002,2011,3,12,0
1,2011-04-01,0,1495064.75,A,151315,59.17,3.524,,,,,,214.8371664,7.682,1541102.3800000001,1594968.28,1576843.87,2011,4,13,0
1,2011-04-08,0,1614259.35,A,151315,67.84,3.622,,,,,,215.0743939,7.682,1495064.75,1545418.53,1541544.205,2011,4,14,0
1,2011-04-15,0,1559889.0,A,151315,71.27,3.743,,,,,,215.2918561,7.682,1614259.35,1466058.28,1556811.135,2011,4,15,0
1,2011-04-22,0,1564819.81,A,151315,72.99,3.807,,,,,,215.4599053,7.682,1559889.0,1391256.12,1552578.87,2011,4,16,0
1,2011-04-29,0,1455090.69,A,151315,72.03,3.81,,,,,,215.6279544,7.682,1564819.81,1425100.71,1558508.2275,2011,4,17,0
1,2011-05-06,0,1629391.28,A,151315,64.61,3.906,,,,,,215.7960035,7.682,1455090.69,1603955.1199999999,1548514.7125,2011,5,18,0
1,2011-05-13,0,1604775.58,A,151315,75.64,3.899,,,,,,215.9640526,7.682,1629391.28,1494251.5,1552297.695,2011,5,19,0
1,2011-05-20,0,1428218.27,A,151315,67.63,3.907,,,,,,215.7339202,7.682,1604775.58,1399662.07,1563519.34,2011,5,20,0
1,2011-05-27,0,1466046.67,A,151315,77.72,3.786,,,,,,215.5037878,7.682,1428218.27,1432069.95,1529368.955,2011,5,21,0
1,2011-06-03,0,1635078.41,A,151315,83.0,3.699,,,,,,215.2736553,7.682,1466046.67,1615524.71,1532107.9500000002,2011,6,22,0
1,2011-06-10,0,1588948.32,A,151315,83.13,3.648,,,,,,215.0435229,7.682,1635078.41,1542561.09,1533529.7325,2011,6,23,0
1,2011-06-17,0,1532114.86,A,151315,86.41,3.637,,,,,,214.9980596,7.682,1588948.32,1503284.06,1529572.9175,2011,6,24,0
1,2011-06-24,0,1438830.15,A,151315,83.58,3.594,,,,,,215.0910982,7.682,1532114.86,1422711.6,1555547.0650000002,2011,6,25,0
1,2011-07-01,0,1488538.09,A,151315,85.55,3.524,,,,,,215.1841368,7.962,1438830.15,1492418.1400000001,1548742.9349999998,2011,7,26,0
1,2011-07-08,0,1534849.64,A,151315,85.83,3.48,,,,,,215.2771754,7.962,1488538.09,1546074.18,1512107.855,2011,7,27,0
1,2011-07-15,0,1455119.97,A,151315,88.54,3.575,,,,,,215.3611087,7.962,1534849.64,1448938.92,1498583.185,2011,7,28,0
1,2011-07-22,0,1396926.82,A,151315,85.77,3.651,,,,,,215.4222784,7.962,1455119.97,1385065.2,1479334.4625,2011,7,29,0
1,2011-07-29,0,1352219.79,A,151315,86.83,3.682,,,,,,215.4834482,7.962,1396926.82,1371986.6,1468858.6300000001,2011,7,30,0
1,2011-08-05,0,1624383.75,A,151315,91.65,3.684,,,,,,215.544618,7.962,1352219.79,1605491.78,1434779.055,2011,8,31,0
1,2011-08-12,0,1525147.09,A,151315,90.76,3.638,,,,,,215.6057878,7.962,1624383.75,1508237.76,1457162.5825,2011,8,32,0
1,2011-08-19,0,1530761.43,A,151315,89.94,3.554,,,,,,215.6693107,7.962,1525147.09,1513080.49,1474669.3625,2011,8,33,0
1,2011-08-26,0,1464693.46,A,151315,87.96,3.523,,,,,,215.7332258,7.962,1530761.43,1449142.92,1508128.015,2011,8,34,0
1,2011-09-02,0,1550229.22,A,151315,87.83,3.533,,,,,,215.7971409,7.962,1464693.46,1540163.53,1536246.4324999999,2011,9,35,0
1,2011-09-09,1,1540471.24,A,151315,76.0,3.546,,,,,,215.861056,7.962,1550229.22,1507460.69,1517707.7999999998,2011,9,36,0
1,2011-09-16,0,1514259.78,A,151315,79.94,3.526,,,,,,216.0410526,7.962,1540471.24,1430378.67,1521538.8375,2011,9,37,0
1,2011-09-23,0,1380020.27,A,151315,75.8,3.467,,,,,,216.3758246,7.962,1514259.78,1351791.03,1517413.425,2011,9,38,0
1,2011-09-30,0,1394561.83,A,151315,79.69,3.355,,,,,,216.7105965,7.962,1380020.27,1453329.5,1496245.1275,2011,9,39,0
1,2011-10-07,0,1630989.95,A,151315,69.31,3.285,,,,,,217.0453684,7.866,1394561.83,1508239.93,1457328.2799999998,2011,10,40,0
1,2011-10-14,0,1493525.93,A,151315,71.74,3.274,,,,,,217.3552733,7.866,1630989.95,1459409.1,1479957.9575,2011,10,41,0
1,2011-10-21,0,1502562.78,A,151315,63.71,3.353,,,,,,217.5159762,7.866,1493525.93,1345454.0,1474774.495,2011,10,42,0
